,Unnamed: 0,Column1,Groserias,Vulgar,Agresivo,Ofensivo,Unnamed: 0.1
3241,4681,,"@diazquinte Nada que ver que se jodío , se fue buena la vaina , no deberían negarse a colaborar en la prevención del cáncer de próstata jajja",0,0,0,4681.0
2877,5373,,"Agradezco de todo corazón las muestras de solidaridad ante la brutal vulgaridad del  depravado que me insultó.

Sus expresiones violentaron mi dignidad.

Ya están en curso las acciones legales en defensa de mis derechos.",0,0,1,5373.0
1609,4158,,@trepanaci0n lo has hecho d cabeza?,0,0,0,4158.0
3345,2537,,@DavidMtzz007 es que no puedo subir a challenger JAJAJAJA 😭 llamen a dios,0,0,0,2537.0
3252,1252,,@Was_warro Esa persona necesita atención psicologica,0,0,0,1252.0
1905,5477,,@tetogamas @DanteDelgado Y ladrón https://t.co/OlPElPYOZF,0,0,0,5477.0
1135,4712,,"@KalinaAnnGG Yess pls, cualquier cosa que me ayude a pasar a algo mejor que solo speed.paint, chido",0,0,0,4712.0
213,37,37.0,"Que pinche advenedizo de mierda es @Paco_Villa_...

Ahora sí muy indignado por ""el uso del VAR"" contra los chemos, pero cuando los ayudaron incluso para conseguir un campeonato no se quejaba.

Ándale wey, mejor ve a aprender a cortejar a una mujer que no sea tu hermana.",1,1,1,
1460,4455,4455.0,@vitazurikta el día mundial de la concha no?,0,0,0,
796,1738,1738.0,"#ElPuntoEs ¿Será que el sector campesino, se pinte de guinda?  https://t.co/OuOaEx0jpG",0,0,0,
3069,5645,,A exhibir a los TR41DOR3S y amigos del mediocre Monry @RicardoMonrealA https://t.co/STdeEdIowk,0,0,1,5645.0
887,3875,3875.0,Necesito un estudio antropológico que me explique porque la gente de EU es tan idiota 😩,0,0,1,
1261,4439,4439.0,@eloycenteno Pues claro que tienen derecho a celebrarlo. Taría cojonudo.,1,0,0,
70,5522,,@RQuinonezL @TransmetroGuate Ladron,0,0,0,5522.0
45,2556,2556.0,"@KeryNews No cuenta con el....es un niñato tonto que no hace caso de su juguete, pero cuando alguien más lo quiere se vuelve el favorito, HDTPM Cherunculo",1,0,0,
1764,4237,,"@_VicenteSerrano La vergüenza es para el CBTIS. Una mierda como tú no mames!! No tienes educación y por eso cromas sables, se entiende que no te alcanza para más, pero que lo quieras vender como que has logrado algo importante, es lo indignante… es como si una prostituta presumiera sus cogidas!! 🐷",1,1,1,4237.0
145,2655,2655.0,"@RocoRodz @jon_cabalgata @Lord_Pajarraco @AIan_Moore Desde el momento en que pones a EUA como el@bueno, se nota que no tienes criterio",0,0,0,
2803,704,,@CruzAzul Pendejos,1,0,1,704.0
134,924,924.0,"@ElMosquito1900 Me la chuto este ""prótzimo"" fin... a ver si no termino ""pior""!! 😂😂😂🤣🤣🤣😂😂🤣🤣🤣",0,0,0,
1088,407,407.0,"Cállate alaverga, estás en una zona de lectura, estoy leyendo y tú pareces cacatúa",1,0,1,
346,478,,@RanferiDe Lo deuce el viejillo pendejo que defiende a otro viejo pendejo entregado al crimen organizado!! 😂😂🤣,1,0,1,478.0
1526,4427,4427.0,@OsoCojon Manda foto cojón,1,0,0,
1266,445,,@JuancaPS5 @Cadiz_CF gran borracho!... viejo verde!,0,0,1,445.0
3478,1838,,"@EnriqueVonBeas @adelarosa @OmarVV9 @enrique_mtzv Cada día más pendejo y más sidoso, jódete Botargaza.",1,0,1,1838.0
876,3436,3436.0,@SoyLvis_Hernan @perro_sarnoso_ @btoxic79 @RicaCostaMezcal @YoditaDice @elinventede @Eli_Bertino_V @MarchantitaS Yo quiero… chocolates!! 😍,0,0,0,
1304,1319,1319.0,"@CarlosDPicos @alitomorenoc Anda .endejo, por hablador. Te espera tu uniforme color naranja. Facho PRIANRDejo. Arre pues",1,1,1,
40,587,,"Realmente creo que mbappe se está convirtiendo en un cancer para el Psg, tenia solo a neymar para cruzarle la pelota y prefirió tirar, puto coraje.",1,0,1,587.0
1953,1219,,"@semaforoenambar Se les olvidó mencionar en el comunicado que debido al daño de fauna y flora y a la denuncia por parte de las persona, no tuvieron de otra que regresar al parque Avila Camacho",0,0,0,1219.0
2335,5715,,@jehusito85 @cmoscato4 No cómo el pinché marrano que no da una y cobra más que Carmelita,1,0,1,5715.0
499,170,,Me caga estar aburrido porque me pongo a gastar dinero a lo pendejo,1,0,0,170.0
2723,341,,me caga hasta la madre trabajar en equipo,1,1,0,341.0
325,1875,1875.0,"@ChumelTorres Calmantes Montes Chabelo infantiloide, calma tu irá chiquis tu a tu edad y con tanto odio dudo mucho que sentadote en el cómodo sillón, chingue y chingue la madre sin ayudar en nada vivas tanto como para ver tus deseos de lame hu3vos solo por varo ogt. Nada cambias no eres nada.",1,1,1,
2739,3465,,"@Woshingo que está mal lavado, y a raíz de eso llega su familia, en eso el padre y la presuntuosa madre, (lo digo de este modo porque en las fotos familiares había otra mujer), nos dicen lo mismo, de que está mal lavado y que ellos lo hacían mejor. Mantuvimos la calma, repetimos 4 veces+",0,0,0,3465.0
3582,2052,,@hek524 poco retrasado Doc. Muchas felicidades 🎂🥳🎉🎁🎁🎁🎁🎉. Amerita Bacacho 😅,0,0,0,2052.0
3490,697,,@Navegaciones @ElenaBuylla @HLGatell Entripado... en serio cómo les gusta ser pendejos! y cuando el niño venga en otra posición o tenga el cordón umbilical enredado ¿Cómo demonios le harán las mujeres para salvar a esos bebés? ¿Ven por qué siempre los tachamos de pendejos? Porque lo son!,1,0,1,697.0
141,466,466.0,@HonestXelajuFan @CremasOficial Que decías caitudo de mierda,1,1,1,
2908,4542,,"@JhanSDoriel @CBSSports @ChicagoBears Se ve cool, pero a que sea realidad falta mucho",0,0,0,4542.0
3093,2235,,"@flordesakkura @DoaTecla5 Eso, antes de mandarte a ti y a la peste de asquerosos 7 seguidores que tienes a la piara de los bloqueados junto a otros 135.000 🐖🐖 como tú.

¡A pastar, mamarracho! https://t.co/BkRuHmAeyV",0,0,1,2235.0
2384,5458,,"#Internacional 🌎 | #NewYork | Un par de presuntos ladrones protagonizaron un insólito robo a mano armada en Manhattan, al chocar intencionalmente una camioneta y perseguirla hasta sobre la banqueta hasta lograr detenerla para robarle al conductor. https://t.co/aWeDPjLJfk",0,0,0,5458.0
1682,213,213.0,"Si al club le dan 65 kilos por case, con todo el, dolor del mundo sería una oferta muy difícil de rechazar, una leyenda, pero que la temporada pasada tuvo síntomas de bajonazo.
Sube nivel o le pasa como a Marcelo?",0,0,0,
2007,2748,,@gomaxxx Tenía q salir otro mariposon  hablando pendejadas.  Les duele Que el mejor presidente de Latinoamérica se llame Bukele,1,1,1,2748.0
1170,997,,@ManObservador @beltrandelrio Durísimo. Desde que me bloqueó por decirle que es asqueroso como alaba ese aeropuerto lo tengo vetadísimo. Empieza su programa y le apago.,0,0,1,997.0
1914,5467,,"@AleLRoss198 Tienes razon,Cuba no es Estado Fallido, EN CUBA HAY UN ESTADO FALLIDO, UNA DICTADURA TERRORISTA Y UNA GRUPÚSCULO DE DELINCUENTES, MAFIOSOS, GÁNSTER, MATREROS , LADRONES EN HP",1,0,1,5467.0
1495,1537,,"Señores, una mujer halagando mi voz es una vaina muy 😌😌😌😌",0,0,0,1537.0
1257,1909,1909.0,"La supuesta ayuda extranjera fue pedida más de 10 días después cuando debía haberse hecho al día siguiente del derrumbre. Pura pantalla.
Igual que en 85 con los perros de rescate de Italia, los dejaron pasar demasiado tarde y algún izquierdoso se robó uno para semental.",0,0,0,
700,1831,1831.0,"Tu cabello estaba un poco largo y vestías de negro, traías vino y follábamos en el suelo terminando en llamas ardientes o en el paraíso 

Era todo un poco hortera y tenía color como de serie grabada en los 90s.

La verdad es que se notaba que nos queríamos mucho”

          &lt;3",1,0,0,
2294,2685,,"@Ronald_MacKay Todavía el Doctor Manuel Ayau le dijo al Enano panzón de Berge en los 90s, que esto iba a pasar y que empezará por quitar todos los drenajes de la capital que desembocaban en el Lago..
.
La mierda esa de Berge le dijo al Doctor Ayau que él estaba en el poder y hacia lo que quería",1,0,1,2685.0
246,497,,@k4otic @playsteishonero Es que Sony es pobre por eso sus usuarios no esperan eso jajajajaja,0,0,0,497.0
1497,2385,,@charlene_rdguez @lalitapuesss Se venden audiopornos,0,0,0,2385.0
1511,700,,"@tudimebeto @snoopy_ricardo Hijos? Una final ganada y más víctorias sobre ellos 🤔 

Si están bien pendejos la verdad https://t.co/GvjS57eB09",1,0,1,700.0
1514,2795,,@m_ebrard Creo que era más político Cantinflas que este vejestorio andante,0,0,1,2795.0
3467,5723,,"Se acumulan pruebas de que el chacal Obrador es un delincuente electoral. Aunque solo confirman lo que en su momento las autoridades electorales dejaron pasar permitiéndole estar - ilegalmente- en la boleta del 2018.

1/

“Me deja morir solo: Pío” https://t.co/0XcN4kqYxz",0,0,1,5723.0
1832,4999,4999.0,@_VicenteSerrano Cállate palero puñetero y chillon,1,1,1,
2271,4859,,@_vluna21 Tuve un ex que eso me pasó JAJAJAJA y si. Jamás lo@volví a invitar,0,0,0,4859.0
1942,269,,Montrezl Harrell firma dos años con 76ers https://t.co/Yb9LuZ0al0,0,0,0,269.0
3575,3904,,"Pura hipocresía de los catastrofistas climáticos!
Es un mensaje para imbéciles:
Si ustedes contaminan se acaba el planeta; si nosotros contaminamos, no importa, lo arreglamos, somos los nuevos dioses del Olimpo!! https://t.co/kca7CwiIh7",0,0,0,3904.0
3557,5146,,@ANIABELLO_R Ese tal Benedetti resultó un borracho y gran jalabolas como muchos colombianos. Aquí en Venezuela le vive jalando bolas al colombiano usurpador de la presidencia. Una vaina que da pena ajena de lo arrastrado y gusano,1,0,1,5146.0
53,1204,1204.0,@adribk82 @PaulaPibdi Yo también pero a mí grabadora le falta el enchufe,0,0,0,
1792,2620,2620.0,@paco_tweets @DrM0sB @montygon_ Tu noooooo! El otro! El cirujano que por eso solo no ejerce la lp,0,0,0,
1194,3307,3307.0,"@leogarnier Para que las vacunas rosquete sin vergüenza??, que tiene que ver el estado de emergencia con que las personas se cuiden o no? Que raro quitan el decreto de emergencia en el que muchos se ven favorecidos y tardan los corruptos y sus medios aliados en atacar!!",0,1,1,
773,5036,5036.0,Hasta putañero salió el Barto https://t.co/CjMjgyZMkM,1,0,0,
665,2499,2499.0,"Un morro presentándose con una chava desconocida en la biblioteca del Colmex, tirándole la onda, siendo inapelablemente bateado y retirándose digno y cordial. 

Aquí no aplicó aquello de “audaces Fortuna iuvat”, pero pues la neta ole sus cojones.",0,0,0,
91,4722,,Perdón pero mi narcisismo hace que me mire en cualquier cosa en la que me refleje,0,0,0,4722.0
3666,1946,,"@MadridunidoReal @Zona_Blaugrana Roja de Cárcel, mínimo expulsado unos 6 meses 😠😠😠😠😠😠😠😠😠😡🤬🤬🤬",0,0,0,1946.0
218,1155,1155.0,"@BereMartinezD @lopezobrador_ Lo que trae es mala asesoria y una suerte de espaldas para sus proyectos, parece gallina vieja que quiere empollar y solo avienta aire",0,0,1,
235,1424,,"@SadeKurten ¡Hola, Luis!
Te ofrecemos una disculpa por el inconveniente y queremos ayudarte a solucionarlo. 
Por favor, contáctanos en cualquiera de los siguientes medios:

📞 Atención: 33 96 90 00 00
📲 WhatsApp: https://t.co/Nap7wKcIH7
📲 Telegram: https://t.co/A2PiqpXWmY",0,0,0,1424.0
353,264,264.0,@marielangasille Ojalá le salga el Bicho 🤙,0,0,0,
697,5148,5148.0,@lisishark Bueno cuando quieras singar tu me dices y así yo me ahorro la labia y eso😂😂,1,0,0,
1749,1944,1944.0,Eh pero sin encularse joto,0,0,1,
1703,2281,2281.0,Alya no le des idea a el mariposon https://t.co/p0tvfYKha1,1,0,1,
1641,1793,,"@protestona1 No,si el nivel político de derechas e izquierdas es para hacérselo mirar,  
Tanto monta,monta tanto",0,0,0,1793.0
1161,3394,,"#INTERNACIONALES / Dos personas, de un grupo de migrantes, son apresadas al llegar a Puerto Rico

#Departamento19HN

https://t.co/VfYcYjjAf5 https://t.co/uKVXkhqhZo",0,0,0,3394.0
3436,1900,,Que asco 🤮 @Tebasjavier 🤮🤮 esa es la preferencia de @LaLiga https://t.co/TnWLNb5rRB,0,0,1,1900.0
972,3130,,"@Fotuss1 @Leonard4755 @SevenNYC22 @azul_memin @InvictosSomos Esas las ganó por ganar Champions o cómo? Porque es lo que estamos hablando, no? Porque me sacas una foto de CHAMPIONS y te digo que desde el 2015 ya no es el mejor en Champions.",0,0,0,3130.0
1859,5146,5146.0,"Si @Ivan_Velasquez_ no le aceptó chantajes a Pablo Escobar, pensaba este ripio humano de la talla de Méndez Ruiz y Arenas que les iba a dar por donde.",0,0,0,
236,2792,2792.0,"@MariettoPonce Ese vástago del 💩💩 se parece mucho al Javier Duarte, insisto. Esa zopilota se anduvo parando en otros palos, pelandusca.",1,1,1,
3792,3689,,"@AngeliqueMGR @analucia_medina @LillyTellez Así les han de meter el plátano a él y las de su familia, porque se ve que lo sabe muy bien. Nefasto el tipejo.",0,0,1,3689.0
3115,1752,,El nivel de tensión sexual entre volver a comenzar The Walking Dead por decimonovena vez  y yo es increíble,0,0,0,1752.0
948,2078,,"@JosLuis1901 Liquidado??? Jajaja!! Te vas a morir y la U seguirá siendo tu papá, así que tranquilito nomas hijo de puta, se nota que te ardió el orto. Tremendo retrasado poniéndose la 25, descendido y la conchatumadre!!! Eres la puta de América, que nunca se te olvide eso 🤣🤣🤣🤣",1,1,1,2078.0
1029,2968,2968.0,"Cómo dice piporro, gente batallosa nunca ha de faltar",0,0,0,
3819,4988,,El mejor hilo del mundo https://t.co/GwIHOcRyzV,0,0,0,4988.0
1330,129,,Puro pendejo colecciona sticker de futbolistas 🫤,1,0,1,129.0
618,934,934.0,@arilijalad @eldestapeweb Cipayo ensobrado,0,0,0,
895,3444,3444.0,"A estos cadáveres insepultos les encanta salir de sus sarcófagos cada vez que HIEDE a ""elecciones"" en Venezuela.
Carcamanes ladillosos que asquean por  dar larga vida a la #NarcoTerroristaTiranía saqueadora y genocida.
Vete pa' la mierda CALLADITO, cunaguarito sarnoso! https://t.co/vOnBDlJCgF",1,1,1,
986,3038,3038.0,"@TomasTu32110483 @Deybylara151113 @azucenau Mantenido pobreton y con papitis, explotaste a tus padres y crees que mantenerlos te hace buen hijo? Sólo te criaron para que les sirvieras de viejos familia de mediocres.",0,0,1,
1247,2183,,"Que no solo sea un cambio de administración, un mero cambio de narrativa o color, buscamos ambientes libres de estigmatización tanto para los cuerpos como para nuestra práctica profesional, una revolución en la manera de pensar la salud, pero para eso hay que PENSAR y REALIZAR🌮",0,0,0,2183.0
1317,930,,214 policías estatales atenderán emergencia ante el paso de Huracán “Kay” https://t.co/fTgjKT20LY,0,0,0,930.0
1120,5681,,"Imaginen que puede aportar un corrupto traidor vende patrias Lencho Marrano C.y que a violado los derechos constitucionales de cada mexicano,en la  Universidad más prestigiosa de México,? Como hacer fraudes,como violar la constitución,como sacar provecho de cada elección? QPM.",0,0,1,5681.0
697,4348,,@alfredodelmazo #SeguimosDandoResultados  #5toInformeEdoméx muy buen trabajo ojalá se continúe con esos apoyos a quien lo necesita,0,0,0,4348.0
3248,2395,,CORRUPTO CÍNICO https://t.co/6aSkanojJi,0,0,1,2395.0
1177,2817,2817.0,"Siempre te recordaré cuidando de los pequeños como si fueras su mamá, siempre atenta a los demás. Recibiendo y queriendo a Bubu, gracias por estar, hasta pronto Canu, hasta que te vuelva ver en el arcoíris junto a Pelusa https://t.co/x5xS2kRG9U",0,0,0,
616,3894,,"Hay gente de derecha, en política, que son realmente imbéciles. En vez de mostrar altura frente al clasismo mostrado por adherentes del Apruebo que rotearon a la gente por no votar Apruebo, se ponen a la misma altura. https://t.co/9A57kbhhP3",0,0,1,3894.0
642,4222,,Esto vale la pena https://t.co/GiSEEdGopR,0,0,0,4222.0
2983,5223,,"wey q pdo, ahora no puse canción en mi historia y aún así le dio like, pinche perro mal nacido me caes gordo",1,0,1,5223.0
1839,1496,,"@FaustoGuerrer19 @lopezobrador_ @LuisaAlcalde @mileniotv Eso te pasó por tibio lameculos, amarillo, socialdemócrata y charro.",1,1,1,1496.0
918,3306,3306.0,@raul_olaechea calla cabro de@mierda tubtbn caeraa terruko pkdrido y encima rosquete https://t.co/njbHbnhDJl,1,1,1,
1710,5351,,"@leoncsm @SauloLbuen Y estará buenísimo para payaso, que te compren esos datos. Pero para mi no me sirven. Es información vieja.",0,0,1,5351.0
609,3931,3931.0,"@alejoseg14 @CharlesGyborin Que nivel de imbécil. 

Por cierto que mamarracho esa tu porquería de blog, imposible leer más de tres líneas de esa mamada. Sos así de malo para todo?",1,1,1,
1530,5470,,ONAPRE -MIRAFLORES LADRONES,0,0,0,5470.0
3023,5149,,@ClouthierManuel El comandante Sin Bolas,1,0,1,5149.0
2554,528,,"@GaboMaestracci @CrisR_26 Ya no habla de Vini, ahora le toca hablar del pobre Hazard!! 😂",0,0,0,528.0
2964,75,,@PazPanquecap Puedo jurar que he visto esa mierda en mis pesadillas,1,0,1,75.0
927,3078,3078.0,"@memobarba Gracias a este pensamiento tan cuadrado tenemos encima el populismo que nos aqueja Sr. Barba. 
Hay espacio para reducir la jornada laboral en México y aumentar la productividad y la calidad de vida de los trabajadores. Si bien no a 36 horas si de 48 a 42, y 15 de descanso.",0,0,0,
1820,3800,,"Y así queda lista #Hawaiana y mitad #Champiñon con #Chorizo, excelente combinación, pide la tuya!

Desde $𝟭𝟭𝟵°° la Grande.

#Pizzas al 𝟑𝟑𝟑𝟔𝟑𝟒𝟔𝟏𝟓𝟐, ‘El Sabor Hecho #Pizza, #Lasaña, #Alitas, #PapasFritas, #Espagueti, #Nuggets y #PandeAjo’,en #𝙈𝙖𝙙𝙚𝙞𝙣𝙋𝙞𝙯𝙯𝙖'. https://t.co/nmR11ziHUP",0,0,0,3800.0
3382,3636,,"@alitomorenoc @FaustoMZamorano @UR_Nacional Esperamos que el PRI y tú,   cumplan con México.
Serían unos malandrines  vende patrias si pactan con el pejelagarto y su perversa secta. 
Se trata de México, no de los intereses personales de ustedes o del tipejo.
Muchos creemos en ti para consolidar la alianza, no nos defrauden",0,0,1,3636.0
244,3823,3823.0,"@chinchontepec22 @nuevasideas @AlexiaRivasG1 Cual es la cuenta de este cerdo asqueroso, para decirle su par de verdades… A una mujer se le respeta pedazo de escremento, se te olvidó que tienes nana basura !!!!",0,1,1,
1256,2000,,"@petrogustavo Chávez intentó asesinar a Carlos Andrés Pérez durante un fallido golpe de Estado. Digo Don Gustavo, por si no recordaba esos pequeños detalles de la historia.",0,0,0,2000.0
3826,2375,,"Asi Quiere @claroelsalvador 
Que Yo Y Mi Entorno Tengamos
Ya Que No Se Les Puede Obligar
A Cambiar Algo Que Ellos No 
Quieren Bueno Estan En La Libertad De Hacerlo Yo Ya No Les Rogare Mas Solo Que Yo 
Siempre Les Pedi Honestidad 
Y Siempre Me Daban Largas 
Y Eso Es Muy Injusto",0,0,0,2375.0
252,5742,,"@FernandoV33666 @AXZO03 @Maradel27654149 Si tu trabajo es la seguridad pública y la flagrancia está en tus narices y no actúas, eres delincuente. Vaya que critiqué esa complicidad y descaradamente te decían”son órdenes del presidente”. Poca madre! Seamos felices",0,0,1,5742.0
47,1366,1366.0,"@IrvingGatell Me parece mucho más imbecil y tetisimo su propia foto con el logo de star wars, película de nenas y nerds colectores de figurin.",0,0,1,
1094,2373,2373.0,"Maduro y Jorge gozan haciéndoles creer a estos inútiles que juran ser #LaOposición, que irán a pasear a las playas de Cancún, para luego cortarles las nota con cualquier excusa.

Pero a pesar de hacer el ridículo, este mercachifle @stalin_gonzalez aún cree que puede ser sectario. https://t.co/Mb459m6B65",0,0,1,
3943,2243,,"@TheBadHeartMex @catrina_nortena Ya aburrió con eso la Vieja loca, parece de las ex novias tóxicas de Twitter que no dejan al otro mamarracho infiel en paz ...",0,0,1,2243.0
3745,830,,"@tobyjrtaber Payasos al día como siempre,  tan iluso Jr, tan iluso,  tan inepto y  miserable, tanto afán para engañarte solo,  la salvación no es un negocio o mucho menos un trabajo mundano de. Mercancía,  vos crees que eso esta camion rectos jajajjajajajajjaja lo que hacés es camion ancho",0,1,1,830.0
2244,4818,,"@Hans2412 @MarkoCortes No sabemos que razones están orillando a el PAN a hacer este anuncio, se había trabajado mucho tiempo en la Alianza por México y esto la manda a el caño.",0,0,0,4818.0
2257,2397,,"@CarlosLoret @GmoSheridan @JesusRCuevas ""Sin plagio no habría progreso"", diría algún cínico por ahí.",0,0,1,2397.0
824,462,462.0,@destxmc @ElClavo17 @HonestXelajuFan Ustedes son las mascotas del albo en afición en títulos tanto nacional como internacional hasta Aurora que por cierto tiene años en 1mera tiene más títulos que ustedes CAITUDO 🤢,0,0,1,
741,3117,3117.0,@kingsote @CruzAzul Jajaja jajaja ¿qué onda con el provinciano? ¿Ya hay internet por allá en Sonora? ¿Necesitas atención? Te la hubieran dado de morrito.,0,0,1,
1243,4004,4004.0,@mechediazortega Paseo del pendón.,0,0,0,
1178,1336,1336.0,@atlanticsurff Que Falopero de cuarta…😂 típico nac&amp;pop 😆,0,0,1,
3887,2223,,@NormaCuevasV @Garcimonero Tal cual  estos colaboradores sumisos y ciegos. Se ha convertido en una peste para el país. Los daños va a ser tremendos para la educación. Y otros rubros. Lamentable el actuar de  estas gentes solo por darle gusto a un presidente mamarracho y narcisista,0,1,1,2223.0
1363,1945,1945.0,"Que verga tienen en la cabeza los hombres que en una foto que su amigo sube con su novia, comentan cosas como “a huevo perro yo pensé que eras joto jajjjaaja” wey por????",1,0,1,
3275,943,,@IreneMHastings Lo bueno es que no te paso nada grave hermosa,0,0,0,943.0
1164,1459,1459.0,@ElSoravi13 Sobre los OCS que fueron a la fritanga ¿quienes son? ¿A que se dedican? ¿Son latinos? ¿Haremos crossover algún día?,0,0,0,
1096,2183,2183.0,"#DineroPro financiera, alguien se algo se este negocio, solo están mame y mame que una persona no les paga y ni la conozco. Alguna recomendacion...????",1,0,0,
3425,1034,,@Aurelio_Corea Hahaha Que me responda Cristiano una historia jaja siempre le escribo al perro,0,0,0,1034.0
1552,4239,,No mames lo encontré xD https://t.co/Zo3wMLLHJW,1,0,0,4239.0
2183,4634,,ahhh para equipo Lebron debia llevarlo a akron  AHI HACEN PURA GENTE MALA XD https://t.co/5MEemIryIO,0,0,0,4634.0
428,866,866.0,@catsinoddplaces El Gato Volador by Chombo,0,0,0,
3010,3189,,@guilbert_ga El más fuerte …. protector y Amigo del narco !!!,0,0,0,3189.0
1571,5279,,JAJAKSJAKA lo que le ponen los uniformes a la perra😂 https://t.co/t0NRaQfkAV,1,0,0,5279.0
3461,5526,,"@beltrandelrio Que vayan a palacio nacional a hacer su manifestación por no cumplir lo prometido y dejen de dañar a terceros que no tienen la culpa de que hayan votado por un mitómano, vividor, mantenido, ladrón y traídor",0,0,1,5526.0
1375,3000,,"@Soficaaasot usted me da verguenza, tanto hate a los gatos y tiene uno, nombres",0,0,1,3000.0
157,5079,,"@DramaQueenLatin Es que me parecen tus publicaciones y no puedo no decir nada
Of; cuando a mi alguien me vale verga lo ignoro, tú siempre me respondes 😄",1,0,0,5079.0
941,5576,,@m_ebrard @s En Puras pendejadas pierdes tu tiempo. Ponte a hacer algo trascendente. Desquita el salario!! Inútil!!,1,0,1,5576.0
976,5938,,sí me gustas pero estás como bien estúpido,0,0,1,5938.0
462,1211,1211.0,@VicenteFoxQue No se podía esperar otra cosa con un presidente mediocre y engañabobos .,0,0,1,
89,2830,2830.0,@Fabiopolanco4 @Manuelrojasrod Esa es la misma encuesta que dijo el Penco presidente en primera vuelta 🤣🤣🤣,0,0,0,
2135,2428,,@jenarovillamil @CharlysMarck @FelipeCalderon OJALÀ EL CINICO CONTESTE,0,0,1,2428.0
2812,5991,,@RechazoChileno Porquería sin moral hablando mal de piñera y tiene a mi amado país pa la cagaa. Hipócrita la vas a pagar pronto todos tus crímenes. Arruinaste un país junto al difunto mortadela Chávez y quieren expandir su legado por suramerica destruyendo países que van progresando,1,1,1,5991.0
823,1491,,"@epigmenioibarra Eso y más mereces por lameculos epi. Pero, bueno, ¿Quién resiste un cañonazo de $150 mdp? ¿Los intereses los pagas arrastrándote?",1,1,1,1491.0
304,4674,,@AldoValdezM Me parece que Perez Dayan y Pardo Rebollado deberían estar tmb en amarillo Aldo. Especialmente Pardo,0,0,0,4674.0
661,5658,,@Torres_Roman_ @SidralMundetMx Por eso estás así de marrano por tomar tanto mundet,0,0,1,5658.0
186,5711,,@Jacinta_Camila @rsalrocky1 Y aún así chillo como marrano cuando le quitaron la pensión. No tienen llenadera x eso no quieren a mi presidente AMLO,0,0,1,5711.0
1831,3773,3773.0,"💲  Por si te sobran 80 mdp y no sabes en qué invertirlos, ""La Yegüita"" puede ser una opción 👇🏽
 https://t.co/YKlcJSqIis",0,0,0,
1502,1441,1441.0,A nosotros los americanistas también @10APG y los @TigresOficial nos valen madre y para nosotros también es un partido más. Tigres y el franchute son de rancho y no existen a nivel nacional.,1,0,1,
3149,5262,,"Me voy a dedicar a exponer personas. El enlace es el perfil de ""mi hermana"" que ayer al enterarse del posible cáncer de mi papá y mi mamá que se siente mal y dice sentir ya no seguir viviendo, esta perra dijo que no era su problema y éramos unas putas.
https://t.co/SeVy52g6ky",1,0,1,5262.0
1566,1602,1602.0,@estoescambio Esta gente realmente  se comportó como gentuza. Les falto altura.,0,0,1,
3367,2946,,@_VicenteSerrano Verguenza ser un “YouTuber” faldero,0,0,1,2946.0
1086,1907,1907.0,"Oigan, a qué le tira este español izquierdoso, un asco compartir nombre con este cuate...(Pásenle la constitución) https://t.co/oPbpaPkEgT https://t.co/2NnZEAR8Cu",0,0,1,
1969,1721,,"Los @SultanesOficial comenzaron con sus entrenamientos de cara a la Temporada 2022-2023 👳‍♂️ 🔥 😎 

#LigaARCO https://t.co/nlJwZ4hTm6",0,0,0,1721.0
2268,5043,,"@MRCSCQ @AmerangelLorenz Eso de que ""nos iba bien"" fue puro cuento chino. Se endrogaron comprando de todo y llenandolo de todo tipo de sindicatos charros llenos de gente improductiva y eso causó la deuda externa de los 80s.

Aparte en estas viejas paraestatales la mayoria no podemos trabajar",0,0,0,5043.0
1596,2491,,"🚨 ¡Webinar Gratuito! 🚨

30 AÑOS CON EL MISMO TANQUE⁉️

⛽ Todo sobre cambio de tanques de almacenamiento. 
⛽ Viernes 9 de Septiembre - 10:00 am.
⛽ Cupo limitado.

Link de registro: 👇🏻
https://t.co/1PuTrPttBp

#CMX360 #WebinarGratuito #CambioDeTanques https://t.co/nJdTxsIeJu",0,0,0,2491.0
3941,2892,,"#EntérateDurango👨‍💻👩‍💻#Local🦂 En ocho horas se recolectaron 700 kilos de basura de alcantarillas: @spublicos_dgo 
https://t.co/EVoLK85fBU",0,0,0,2892.0
1347,2977,2977.0,@OrlandoRn9 @_jaeel Cállese viejo pirujo,1,0,1,
3154,2021,,@Alvinsch No puede ser que seas tan retrasado,0,0,1,2021.0
2147,1041,,La neta si tengo unos gustos pal perro,0,0,0,1041.0
1352,4219,,@Santodebot Una pena que se nos fundan los colajet.,0,0,0,4219.0
1123,5464,,Ladrones ingresan a robar en restaurante de Tecamachalco https://t.co/II8vtXESgd,0,0,0,5464.0
2858,1874,,Wey que asco de vato la vrdd,0,0,1,1874.0
1812,1776,,"Estoy emputadisima, nivel 10 de 10",1,0,0,1776.0
320,5192,5192.0,"Hay un cerote en mi clase que cuando uno habla, hace cara de que ya se está cagando el maldito imbecil. Como q si tan Perfecto fuera, el ultimo día de clases lo vergueo 👍🏻",1,1,1,
841,936,936.0,"El derecho internacional está claro q para los gringo es papel hijienico, y muy ascoso la actitud del gobierno argentino un  cipayo, ellos q ayer fueron amigos y hermanos, @alferdez cobarde miserable, respondamos igual https://t.co/0e1OUvyCel",0,0,1,
999,3760,3760.0,"@manuelconm Oh no jeje... viajé en el tiempo. Pequeño error. Saludos, Manuel!",0,0,0,
